product_name,ratings_count,top_reviews
"Inland Platinum 2TB SSD NVMe PCIe Gen 3.0x4 M.2 2280 3D NAND Internal Solid State Drive, R/W up to 3,400/3,000 MB/s, PCIe Express 3.1 and NVMe 1.3 Compatible, Utimate Gaming Solutions (2TB)","1,493 ratings","[{'rating_title': 'Great Value NVMe', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'NVMe 1TB drive', 'star_rating': '1.0 out of 5 stars'}, {'rating_title': 'Great little NVME drive!', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Edit after Some research SSD Working FIne.', 'star_rating': '4.0 out of 5 stars'}, {'rating_title': 'Perfect for game storage', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': '30MB/sec sustained write speed on new M1 CPU Mac Book Pro. Fraud specs show only cache speed', 'star_rating': '1.0 out of 5 stars'}]"
Silicon Power 512GB NVMe M.2 PCIe Gen3x4 2280 TLC SSD Solid State Drive (SP512GBP34A60M28),"1,434 ratings","[{'rating_title': 'No m.2 screw', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'problems with NTI Echo software for SP devices', 'star_rating': '3.0 out of 5 stars'}, {'rating_title': 'Great budget drive, purchased 3 so far and all functioning well', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'The Best In My Opinion', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'For the price is alright', 'star_rating': '4.0 out of 5 stars'}, {'rating_title': 'Quality M.2 at a fair price', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Excellent budget drive for Hackintosh', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}]"
"WD_BLACK 2TB SN850 NVMe Internal Gaming SSD Solid State Drive - Gen4 PCIe, M.2 2280, 3D NAND, Up to 7,000 MB/s - WDS200T1X0E","1,715 ratings","[{'rating_title': 'Amazing for the PS5 & I LOVE IT!!', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Really fast', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'WD GET YOUR ACT TOGETHER', 'star_rating': '3.0 out of 5 stars'}, {'rating_title': ""It's ok, could have got 1TB for same $.  EDIT- It's better than I thought."", 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Top Consumer SSD', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Great for Game Storage', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Works with PS5 Extended Storage!', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Maybe unusable as a SSD when connecting using a USB-C device', 'star_rating': '1.0 out of 5 stars'}]"
SK hynix Gold P31 500GB PCIe NVMe Gen3 M.2 2280 Internal SSD | Up to 3500MB/S | Compact M.2 SSD Form Factor SK hynix SSD | Internal Solid State Drive with 128-Layer NAND Flash,"4,968 ratings","[{'rating_title': 'Best overall deal!', 'star_rating': '4.0 out of 5 stars'}, {'rating_title': 'The best SSD ever made, 4 stars for abject lie about ""saving 90 dollars""', 'star_rating': '4.0 out of 5 stars'}, {'rating_title': 'A VERY FAST NVMe SSD!', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'pleasantly surprised', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}]"
"AOKO M.2 NVME SATA SSD Enclosure Adapter, USB C 3.1 Gen 2 10Gbps to NVMe and 6Gbps SATA PCIE NGFF M-Key (B+M Key) External Notbook SSD Aluminum Hard Drive Case Support 2280/2260/2242/2230 SSD(Silver)",0,[]
"Western Digital 1TB WD Green SN350 NVMe Internal SSD Solid State Drive - Gen3 PCIe, QLC, M.2 2280, Up to 3,200 MB/s - WDS100T3G0C",6 ratings,"[{'rating_title': 'Good mid-performance affordable NVMe', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Great cheap m2 ssd', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}]"
"PNY XLR8 CS3030 2TB M.2 PCIe NVMe Gen3 x4 Internal Solid State Drive (SSD), Read up to 3,500 - M280CS3030-2TB-RB","3,551 ratings","[{'rating_title': ""Do not buy new version of this SSD after 2021 - was excellent but now it's not"", 'star_rating': '2.0 out of 5 stars'}, {'rating_title': 'BUYER BEWARE', 'star_rating': '3.0 out of 5 stars'}, {'rating_title': 'FAST', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Great value and performance', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'A solid drive that meets its value expecations', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}]"
Sabrent 4TB Rocket 4 Plus NVMe 4.0 Gen4 PCIe M.2 Internal SSD Extreme Performance Solid State Drive R/W 7100/6600MB/s (SB-RKT4P-4TB),884 ratings,"[{'rating_title': ""Yes, it's very fast. Edit: Endurance is very poor."", 'star_rating': '3.0 out of 5 stars'}, {'rating_title': 'Insanely fast', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Absolutely destroys the 980 Pro!', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Fast, but random reads are subpar', 'star_rating': '4.0 out of 5 stars'}, {'rating_title': ""It's FAST"", 'star_rating': '5.0 out of 5 stars'}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}]"
"TEAMGROUP T-Force CARDEA Zero Z440 1TB DRAM SLC Cache, 3D TLC NAND, NVMe PCIe Gen4 M.2 2280 Gaming SSD Read/Write 5,000/4,400 MB/s TM8FP7001T0C311",700 ratings,"[{'rating_title': 'PS5 compatible!!!', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Super fast! Great value!', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Really fast', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': ""Teamgroup doesn't support their product - Read before you buy"", 'star_rating': '1.0 out of 5 stars'}, {'rating_title': 'top 5 fastest but running hot comes with the territory', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Trashhhh', 'star_rating': '1.0 out of 5 stars'}, {'rating_title': 'Expensive and mediocre', 'star_rating': '4.0 out of 5 stars'}, {'rating_title': 'nope. spend the extra $10.', 'star_rating': '1.0 out of 5 stars'}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}]"
Sabrent 2TB Rocket NVMe 4.0 Gen4 PCIe M.2 Internal SSD Extreme Performance Solid State Drive (SB-ROCKET-NVMe4-2TB),"10,269 ratings","[{'rating_title': 'Stupid Fast SSD', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Unknown TBW Rating', 'star_rating': '4.0 out of 5 stars'}, {'rating_title': 'Proprietary USB Cable? No Thanks!', 'star_rating': '1.0 out of 5 stars'}, {'rating_title': ""Died after a month, won't honor warranty."", 'star_rating': '1.0 out of 5 stars'}, {'rating_title': 'First PCIE 4.0 I found for sale. Highest Speed Available. I Love It!', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Its fast and running at PCIe Gen speed in my x570 Master.', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Need for Speed', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Needs a special TB3 cable!', 'star_rating': '1.0 out of 5 stars'}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}]"
"M.2 NVME SSD Enclosure Adapter Tool-Free, USB C 3.1 Gen 2 10Gbps to NVME PCIe M-Key(B+M Key) Solid State Drive External Enclosure Support UASP Trim for SSD Size 2242/2260/2280","2,951 ratings","[{'rating_title': 'Fried one of my drives', 'star_rating': '1.0 out of 5 stars'}, {'rating_title': 'Don’t risk your NVMe with this product!', 'star_rating': '1.0 out of 5 stars'}, {'rating_title': 'Simple, gets the job done, look at the pictures!', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Works great after adding thermal pad', 'star_rating': '4.0 out of 5 stars'}, {'rating_title': 'Works great. For best speeds use usb-c to usb-c cable.', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Good Value - Get thermal tape', 'star_rating': '4.0 out of 5 stars'}, {'rating_title': 'Fast and easy to use adapter that works great with USB-C', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Well made but compatibility issues', 'star_rating': '4.0 out of 5 stars'}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}]"
